id,image_path,gender,subCategory,articleType,baseColour,productDisplayName,flipkart_url,amazon_url
15970,images/15970.jpg,men,topwear,shirts,navy blue,Turtle Check Men Navy Blue Shirt,https://www.flipkart.com/search?q=Turtle+Check+Men+Navy+Blue+Shirt+Shirts,https://www.amazon.in/s?k=Turtle+Check+Men+Navy+Blue+Shirt+Shirts
39386,images/39386.jpg,men,bottomwear,jeans,blue,Peter England Men Party Blue Jeans,https://www.flipkart.com/search?q=Peter+England+Men+Party+Blue+Jeans+Jeans,https://www.amazon.in/s?k=Peter+England+Men+Party+Blue+Jeans+Jeans
59263,images/59263.jpg,women,watches,watches,silver,Titan Women Silver Watch,https://www.flipkart.com/search?q=Titan+Women+Silver+Watch+Watches,https://www.amazon.in/s?k=Titan+Women+Silver+Watch+Watches
21379,images/21379.jpg,men,bottomwear,track pants,black,Manchester United Men Solid Black Track Pants,https://www.flipkart.com/search?q=Manchester+United+Men+Solid+Black+Track+Pants+Track+Pants,https://www.amazon.in/s?k=Manchester+United+Men+Solid+Black+Track+Pants+Track+Pants
53759,images/53759.jpg,men,topwear,tshirts,grey,Puma Men Grey T-shirt,https://www.flipkart.com/search?q=Puma+Men+Grey+T-shirt+Tshirts,https://www.amazon.in/s?k=Puma+Men+Grey+T-shirt+Tshirts
1855,images/1855.jpg,men,topwear,tshirts,grey,Inkfruit Mens Chain Reaction T-shirt,https://www.flipkart.com/search?q=Inkfruit+Mens+Chain+Reaction+T-shirt+Tshirts,https://www.amazon.in/s?k=Inkfruit+Mens+Chain+Reaction+T-shirt+Tshirts
30805,images/30805.jpg,men,topwear,shirts,green,Fabindia Men Striped Green Shirt,https://www.flipkart.com/search?q=Fabindia+Men+Striped+Green+Shirt+Shirts,https://www.amazon.in/s?k=Fabindia+Men+Striped+Green+Shirt+Shirts
26960,images/26960.jpg,women,topwear,shirts,purple,Jealous 21 Women Purple Shirt,https://www.flipkart.com/search?q=Jealous+21+Women+Purple+Shirt+Shirts,https://www.amazon.in/s?k=Jealous+21+Women+Purple+Shirt+Shirts
29114,images/29114.jpg,men,socks,socks,navy blue,Puma Men Pack of 3 Socks,https://www.flipkart.com/search?q=Puma+Men+Pack+of+3+Socks+Socks,https://www.amazon.in/s?k=Puma+Men+Pack+of+3+Socks+Socks
30039,images/30039.jpg,men,watches,watches,black,Skagen Men Black Watch,https://www.flipkart.com/search?q=Skagen+Men+Black+Watch+Watches,https://www.amazon.in/s?k=Skagen+Men+Black+Watch+Watches
9204,images/9204.jpg,men,shoes,casual shoes,black,Puma Men Future Cat Remix SF Black Casual Shoes,https://www.flipkart.com/search?q=Puma+Men+Future+Cat+Remix+SF+Black+Casual+Shoes+Casual+Shoes,https://www.amazon.in/s?k=Puma+Men+Future+Cat+Remix+SF+Black+Casual+Shoes+Casual+Shoes
48123,images/48123.jpg,women,belts,belts,black,Fossil Women Black Huarache Weave Belt,https://www.flipkart.com/search?q=Fossil+Women+Black+Huarache+Weave+Belt+Belts,https://www.amazon.in/s?k=Fossil+Women+Black+Huarache+Weave+Belt+Belts
18653,images/18653.jpg,men,flip flops,flip flops,black,Fila Men Cush Flex Black Slippers,https://www.flipkart.com/search?q=Fila+Men+Cush+Flex+Black+Slippers+Flip+Flops,https://www.amazon.in/s?k=Fila+Men+Cush+Flex+Black+Slippers+Flip+Flops
47957,images/47957.jpg,women,bags,handbags,blue,Murcia Women Blue Handbag,https://www.flipkart.com/search?q=Murcia+Women+Blue+Handbag+Handbags,https://www.amazon.in/s?k=Murcia+Women+Blue+Handbag+Handbags
46885,images/46885.jpg,boys,flip flops,flip flops,navy blue,Ben 10 Boys Navy Blue Slippers,https://www.flipkart.com/search?q=Ben+10+Boys+Navy+Blue+Slippers+Flip+Flops,https://www.amazon.in/s?k=Ben+10+Boys+Navy+Blue+Slippers+Flip+Flops
12369,images/12369.jpg,men,topwear,shirts,purple,Reid & Taylor Men Check Purple Shirts,https://www.flipkart.com/search?q=Reid+%26+Taylor+Men+Check+Purple+Shirts+Shirts,https://www.amazon.in/s?k=Reid+%26+Taylor+Men+Check+Purple+Shirts+Shirts
29928,images/29928.jpg,men,watches,watches,black,Police Men Black Dial Watch PL12889JVSB,https://www.flipkart.com/search?q=Police+Men+Black+Dial+Watch+PL12889JVSB+Watches,https://www.amazon.in/s?k=Police+Men+Black+Dial+Watch+PL12889JVSB+Watches
42419,images/42419.jpg,girls,topwear,tops,white,Gini and Jony Girls Knit White Top,https://www.flipkart.com/search?q=Gini+and+Jony+Girls+Knit+White+Top+Tops,https://www.amazon.in/s?k=Gini+and+Jony+Girls+Knit+White+Top+Tops
51832,images/51832.jpg,women,innerwear,bra,beige,Bwitch Beige Full-Coverage Bra BW335,https://www.flipkart.com/search?q=Bwitch+Beige+Full-Coverage+Bra+BW335+Bra,https://www.amazon.in/s?k=Bwitch+Beige+Full-Coverage+Bra+BW335+Bra
47359,images/47359.jpg,women,bags,handbags,brown,Baggit Women Brown Handbag,https://www.flipkart.com/search?q=Baggit+Women+Brown+Handbag+Handbags,https://www.amazon.in/s?k=Baggit+Women+Brown+Handbag+Handbags
17429,images/17429.jpg,men,watches,watches,black,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,https://www.flipkart.com/search?q=CASIO+G-Shock+Men+Black+Digital+Watch+G-7710-1DR+G223+Watches,https://www.amazon.in/s?k=CASIO+G-Shock+Men+Black+Digital+Watch+G-7710-1DR+G223+Watches
12967,images/12967.jpg,men,sandal,sandals,black,ADIDAS Men Spry M Black Sandals,https://www.flipkart.com/search?q=ADIDAS+Men+Spry+M+Black+Sandals+Sandals,https://www.amazon.in/s?k=ADIDAS+Men+Spry+M+Black+Sandals+Sandals
6842,images/6842.jpg,unisex,shoe accessories,shoe accessories,black,Timberland Unisex Rubber Sole Brush Shoe Accessories,https://www.flipkart.com/search?q=Timberland+Unisex+Rubber+Sole+Brush+Shoe+Accessories+Shoe+Accessories,https://www.amazon.in/s?k=Timberland+Unisex+Rubber+Sole+Brush+Shoe+Accessories+Shoe+Accessories
